tag,opertaionID,summary,method,path
[Admin] Multi-Cloud environment configuration,GetConnConfig,Get registered ConnConfig info,get,/connconfig/{connconfigname}
[Infra resource] K8sCluster management,DeleteK8sNodeGroup,Remove a K8sNodeGroup,delete,/ns/{nsid}/k8scluster/{k8sclusterid}/k8snodegroup/{k8snodegroupname}
[Infra resource] MCIR Access key management,DelAllSshKey,Delete all SSH Keys,delete,/ns/{nsid}/resources/sshkey
[Infra resource] MCIR Access key management,GetAllSshKey,List all SSH Keys or SSH Keys' ID,get,/ns/{nsid}/resources/sshkey
[Infra resource] MCIR Access key management,PostSshKey,Create SSH Key,post,/ns/{nsid}/resources/sshkey
[Namespace] Namespace management,DelNs,Delete namespace,delete,/ns/{nsid}
[Namespace] Namespace management,GetNs,Get namespace,get,/ns/{nsid}
[Namespace] Namespace management,PutNs,Update namespace,put,/ns/{nsid}
[Infra resource] Snapshot and Custom Image Management,GetCustomImage,Get customImage,get,/ns/{nsid}/resources/customimage/{customimageid}
[Infra resource] Snapshot and Custom Image Management,DelCustomImage,Delete customImage,delete,/ns/{nsid}/resources/customimage/{customimageid}
[Infra service] MCIS Provisioning management,PostRegisterCSPNativeVM,Register existing VM in a CSP to Cloud-Barista MCIS,post,/ns/{nsid}/registercspvm
[Infra resource] MCIR Image management,DelAllImage,Delete all images,delete,/ns/{nsid}/resources/image
[Infra resource] MCIR Image management,PostImage,Register image,post,/ns/{nsid}/resources/image
[Infra resource] MCIR Image management,GetAllImage,List all images or images' ID,get,/ns/{nsid}/resources/image
[Infra resource] K8sCluster management,GetAvailableK8sClusterNodeImage,Get available kubernetes cluster node image,get,/availablek8sclusternodeimage
[Auth] Test JWT authentication,,Test JWT authentication,get,/auth/test
[Infra service] MCIS Performance benchmarking (WIP),GetLatencyBenchmark,Run MCIS benchmark for network latency,get,/ns/{nsid}/benchmarklatency/mcis/{mcisid}
[Admin] Multi-Cloud environment configuration,GetProviderList,List all registered Providers,get,/provider
[Infra service] MCIS Auto control policy management (WIP),GetMcisPolicy,Get MCIS Policy,get,/ns/{nsid}/policy/mcis/{mcisid}
[Infra service] MCIS Auto control policy management (WIP),PostMcisPolicy,Create MCIS Automation policy,post,/ns/{nsid}/policy/mcis/{mcisid}
[Infra service] MCIS Auto control policy management (WIP),DelMcisPolicy,Delete MCIS Policy,delete,/ns/{nsid}/policy/mcis/{mcisid}
[Infra resource] NLB management,PostNLB,Create NLB,post,/ns/{nsid}/mcis/{mcisid}/nlb
[Infra resource] NLB management,GetAllNLB,List all NLBs or NLBs' ID,get,/ns/{nsid}/mcis/{mcisid}/nlb
[Infra resource] NLB management,DelAllNLB,Delete all NLBs,delete,/ns/{nsid}/mcis/{mcisid}/nlb
